"Country","Target Country","Target City"
"USA","ITALY","SPADAFORA"
"USA","NEW GUINEA","KOMIATUM"
"USA","ITALY","COSENZA"
"USA","ITALY","GIOJA TAURO"
"USA","SUMATRA","KILA"
"USA","NEW GUINEA","KDMIATUM"
"USA","NEW GUINEA","SALAMAUA"
"USA","NEW GUINEA","SALAMAUA"
"USA","ITALY","SCILLA"
"USA","ITALY","GIOJA TAURO"
"USA","BURMA","PORT BLAIR"
"GREAT BRITAIN","GERMANY","BERLIN"
"GREAT BRITAIN","GERMANY","BERLIN"
"GREAT BRITAIN","GERMANY","DUSSELDORF"
"USA","ITALY","AGATA"
"USA","ITALY","AGATA"
"USA","ITALY","MESSINA"
"USA","ITALY","MESSINA"
"USA","ITALY","SAPRI"
"USA","ITALY","SAPRI"
"USA","ITALY","37 20 N 014 00 E"
"USA","ITALY","37 20 N 014 00 E"
"USA","ITALY","37 20 N 014 00 E"
"USA","ITALY","SIBARI"
"USA","ITALY","SIBARI"
"USA","ITALY","SIBARI"
"USA","ITALY","SIBARI"
"USA","ITALY","SIBARI"
"USA","ITALY","SIBARI"
"USA","ITALY","SIBARI"
"USA","ITALY","SIBARI"
"USA","ITALY","MILAN"
"USA","ITALY","MILAN"
"USA","ITALY","MILAN"
"USA","UNKNOWN OR NOT INDICATED","UNIDENTIFIED"
"USA","UNKNOWN OR NOT INDICATED","UNIDENTIFIED"
"USA","UNKNOWN OR NOT INDICATED","UNIDENTIFIED"
"USA","UNKNOWN OR NOT INDICATED","UNIDENTIFIED"
"USA","UNKNOWN OR NOT INDICATED","UNIDENTIFIED"
"USA","UNKNOWN OR NOT INDICATED","UNIDENTIFIED"
"USA","UNKNOWN OR NOT INDICATED","UNIDENTIFIED"
"USA","UNKNOWN OR NOT INDICATED","UNIDENTIFIED"
"USA","CORAL SEA AREA","ARAWE"
"USA","SOLOMON ISLANDS","IGHITI"
"USA","ITALY","VILLA SAN GIOVANNI"
"USA","SOLOMON ISLANDS","REKATA BAY"
"USA","BURMA","KETKA"
"USA","BORNEO","BALIK PAPAN"
"USA","SOLOMON ISLANDS","BUKA"
"USA","UNKNOWN OR NOT INDICATED","UNIDENTIFIED"
"USA","UNKNOWN OR NOT INDICATED","UNIDENTIFIED"
"USA","CHINA","CHANGESHA"
"USA","BURMA","MYITKYINA"
"USA","BURMA","MYITKYINA"
"USA","BURMA","MAINGHKA"
"USA","CHINA","YOCHOW"
"USA","CAROLINE ISLANDS","WOLEAI ISLAND"
"USA","CAROLINE ISLANDS","WOLEAI ISLAND"
"USA","NEW GUINEA","BABO"
"USA","NEW GUINEA","BABO"
"USA","CAROLINE ISLANDS","WOLEAI ISLAND"
"USA","CAROLINE ISLANDS","WOLEAI ISLAND"
"USA","KURILE ISLANDS","KUBARU SAKI"
"USA","CELEBES ISLANDS","LOLOBATA"
"USA","MARIANAS ISLANDS","TINIAN"
"USA","CHINA","WUCHUANG"
"USA","CELEBES ISLANDS","ALMAHERA"
"USA","MARIANAS ISLANDS","TINIAN"
"USA","CELEBES ISLANDS","AMBON"
"NEW ZEALAND","BISMARK ARCHIPELAGO","VUNAPOPE"
"USA","NEW GUINEA","KAIMANA"
"USA","NEW GUINEA","WEWAK"
"USA","MANCHURIA","ANSHAN"
"USA","MANCHURIA","ANSHAN"
"USA","CHINA","TAKU"
"USA","CAROLINE ISLANDS","ETEN ISLAND"
"USA","CAROLINE ISLANDS","PARAM ISLAND"
"USA","BURMA","NAUNGTALAW"
"USA","BURMA","MYITKYINA"
"USA","NEW GUINEA","RANSIKI"
"USA","NEW GUINEA","OTAWIRI"
"USA","CELEBES ISLANDS","BOELA"
"USA","CELEBES ISLANDS","BOELLA"
"USA","CELEBES ISLANDS","BOELA"
"USA","CELEBES ISLANDS","WEDA BAY"
"USA","BURMA","MYITKYINA"
"USA","BURMA","MYITKYINA"
"USA","CELEBES ISLANDS","BOELA"
"USA","NEW GUINEA","WEWAK"
"USA","MARIANAS ISLANDS","TINIAN"
"USA","MARIANAS ISLANDS","TINIAN"
"USA","NEW GUINEA","WEWAK"
"USA","NEW GUINEA","WEWAK"
"USA","NEW GUINEA","SALAWATI ISLAND"
"USA","NEW GUINEA","FAK FAK"
"USA","NEW GUINEA","UTAROM"
"USA","NEW GUINEA","CAPE KARAKRA"
"USA","CHINA","CHENGSHIEN"
"USA","NEW GUINEA","WEWAK"
"USA","NEW GUINEA","WEWAK"
"USA","BURMA","PANGHKAM"
"USA","BURMA","MYITKYINA"
"USA","BURMA","MYITKYINA"
"USA","BURMA","MYITKYINA"
"USA","CHINA","SOUTH CHINA SEA"
"USA","MARIANAS ISLANDS","TINIAN"
"USA","CAROLINE ISLANDS","DUBLON ISLAND"
"USA","CHINA","LILING"
"USA","MARIANAS ISLANDS","TINIAN"
"USA","CHINA","CHENGSHIEN"
"USA","JAVA","BANOA"
"USA","BURMA","MAN NAUNG"
"USA","BURMA","CHYAHKAN"
"USA","MARIANAS ISLANDS","TINIAN"
"USA","NEW GUINEA","WEWAK"
"USA","NEW GUINEA","YARABOS"
"USA","MARIANAS ISLANDS","TINIAN"
"USA","BURMA","NAMANA"
"USA","BURMA","NAMANA"
"USA","BURMA","MYITKYINA"
"USA","NEW GUINEA","WEWAK"
"USA","CHINA","TENGCHUNG"
"USA","MARIANAS ISLANDS","TINIAN"
"USA","MARIANAS ISLANDS","TINIAN"
"USA","CHINA","YULIKAN BAY"
"USA","CHINA","YULIN"
"USA","NEW GUINEA","KAROEANI BAY"
"USA","NEW GUINEA","SAOERI"
"USA","BURMA","MYITKYINA"
"USA","BURMA","MYITKYINA"
"USA","MANCHURIA","ANSHAN"
"USA","CHINA","CHENGSHIEN"
"USA","GERMANY","HILDESHEIM"
"USA","GERMANY","HILDESHEIM"
"GREAT BRITAIN","GERMANY","FRANKFURT AM MAIN"
"GREAT BRITAIN","GERMANY","FRANKFURT AM MAIN"
"USA","GERMANY","CUXHAVEN"
"USA","GERMANY","CUXHAVEN"
"USA","GERMANY","CUXHAVEN"
"USA","GERMANY","HILDESHEIM"
"USA","GERMANY","CITY TOT UNDER 6 TON"
"USA","GERMANY","CITY TOT UNDER 6 TON"
"USA","GERMANY","BADSULZA"
"USA","GERMANY","BADSULZA"
"USA","GERMANY","BADSULZA"
"USA","GERMANY","UNIDENTIFIED"
"USA","GERMANY","UNIDENTIFIED"
"USA","BURMA","MONG YAI"
"USA","BURMA","NAMHSAWNG"
"USA","VOLCANO AND BONIN ISLANDS","SURIBACHIYAMA"
"USA","PHILIPPINE ISLANDS","CABALLO"
"USA","BURMA","NAMTU"
"USA","PHILIPPINE ISLANDS","LICUAN"
"USA","JAPAN","TOKYO"
"USA","BURMA","PANG LONG"
"USA","PHILIPPINE ISLANDS","MATINA"
"USA","PHILIPPINE ISLANDS","TUGUEGARAO"
"USA","CHINA","HAINAN ISLAND"
"USA","BURMA","MYINGAN"
"USA","CHINA","HAINAN ISLAND"
"USA","CELEBES ISLANDS","KENDARI"
"USA","CELEBES ISLANDS","KENDARI"
"USA","PHILIPPINE ISLANDS","CORREGIDOR"
"USA","AUSTRIA","HALL"
"USA","AUSTRIA","INNSBRUCK"
"USA","AUSTRIA","INNSBRUCK"
"USA","AUSTRIA","LANDSBERG"
"USA","AUSTRIA","LANDSBERG"
"USA","AUSTRIA","LANDSBERG"
"USA","AUSTRIA","HALL"
"USA","AUSTRIA","HALL"
"USA","AUSTRIA","HALL"
"USA","AUSTRIA","LANDSBERG"
"USA","AUSTRIA","LANDSBERG"
"USA","AUSTRIA","LANDSBERG"
"USA","AUSTRIA","HALL"
"USA","AUSTRIA","HALL"
"USA","AUSTRIA","NEUBERG"
"USA","AUSTRIA","NEUBERG"
"USA","AUSTRIA","NEUBERG"
"USA","AUSTRIA","HALL"
"USA","AUSTRIA","HALL"
"USA","AUSTRIA","HALL"
"USA","AUSTRIA","HALL"
