Mission ID,Mission Date,Theater of Operations,Country,Air Force,Unit ID,Aircraft Series,Callsign,Mission Type,Takeoff Base,Takeoff Location,Takeoff Latitude,Takeoff Longitude,Target ID,Target Country,Target City,Target Type,Target Industry,Target Priority,Target Latitude,Target Longitude,Altitude (Hundreds of Feet),Airborne Aircraft,Attacking Aircraft,Bombing Aircraft,Aircraft Returned,Aircraft Failed,Aircraft Damaged,Aircraft Lost,High Explosives,High Explosives Type,High Explosives Weight (Pounds),High Explosives Weight (Tons),Incendiary Devices,Incendiary Devices Type,Incendiary Devices Weight (Pounds),Incendiary Devices Weight (Tons),Fragmentation Devices,Fragmentation Devices Type,Fragmentation Devices Weight (Pounds),Fragmentation Devices Weight (Tons),Total Weight (Pounds),Total Weight (Tons),Bomb Damage Assessment,Source ID,id,start_week
1,1943-08-15,MTO,USA,12 AF,27 FBG/86 FBG,A36,NA,NA,PONTE OLIVO AIRFIELD,SICILY,37.131022,14.321464,40675,ITALY,SPADAFORA,NA,NA,NA,38.22,15.37,NA,20,NA,20,NA,NA,NA,NA,40,500 LB GP (GP-M43/M64),NA,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,NA,NA,1,1943-08-09
3,1943-08-15,MTO,USA,12 AF,27 FBG/86 FBG,A36,NA,NA,PONTE OLIVO AIRFIELD,SICILY,37.131022,14.321464,9630,ITALY,COSENZA,NA,NA,NA,39.27,16.25,NA,18,NA,36,NA,NA,NA,NA,36,500 LB GP (GP-M43/M64),NA,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,NA,NA,2,1943-08-09
4,1943-08-15,MTO,USA,12 AF,27 FBG/86 FBG,A36,NA,NA,PONTE OLIVO AIRFIELD,SICILY,37.131022,14.321464,16140,ITALY,GIOJA TAURO,NA,NA,NA,38.43,15.9,NA,15,NA,15,NA,1,NA,NA,30,500 LB GP (GP-M43/M64),NA,7.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.5,NA,NA,3,1943-08-09
9,1943-08-15,MTO,USA,12 AF,27 FBG/86 FBG,A36,NA,NA,PONTE OLIVO AIRFIELD,SICILY,37.131022,14.321464,39469,ITALY,SCILLA,NA,NA,NA,38.23,15.72,NA,0,NA,NA,NA,NA,NA,NA,0,500 LB GP (GP-M43/M64),NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,4,1943-08-09
10,1943-08-15,MTO,USA,12 AF,27 FBG/86 FBG,A36,NA,NA,PONTE OLIVO AIRFIELD,SICILY,37.131022,14.321464,16140,ITALY,GIOJA TAURO,NA,ARMAMENT AND ORDNANCE PLANTS,NA,38.43,15.9,NA,0,NA,NA,NA,NA,NA,NA,0,500 LB GP (GP-M43/M64),NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,5,1943-08-09
96,1943-08-16,MTO,USA,12 AF,27 FBG/86 FBG,A36,NA,NA,PONTE OLIVO AIRFIELD,SICILY,37.131022,14.321464,45319,ITALY,VILLA SAN GIOVANNI,NA,NA,NA,38.2,15.65,NA,32,NA,32,NA,NA,NA,NA,64,500 LB GP (GP-M43/M64),NA,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,16,NA,NA,6,1943-08-16
302,1943-08-16,MTO,USA,12 AF,27 FBG/86 FBG,A36,NA,NA,PONTE OLIVO AIRFIELD,SICILY,37.131022,14.321464,9630,ITALY,COSENZA,NA,NA,NA,39.27,16.25,NA,4,NA,8,NA,NA,NA,NA,8,500 LB GP (GP-M43/M64),NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,7,1943-08-16
645,1943-08-17,MTO,USA,12 AF,27 FBG/86 FBG,A36,NA,NA,PONTE OLIVO AIRFIELD,SICILY,37.131022,14.321464,9630,ITALY,COSENZA,NA,NA,NA,39.27,16.25,NA,8,NA,16,NA,NA,NA,NA,16,500 LB GP (GP-M43/M64),NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,8,1943-08-16
646,1943-08-17,MTO,USA,12 AF,27 FBG/86 FBG,A36,NA,NA,PONTE OLIVO AIRFIELD,SICILY,37.131022,14.321464,23248,ITALY,LA SPEZIA,NA,NA,NA,44.1,9.83,NA,6,NA,12,NA,NA,NA,NA,12,500 LB GP (GP-M43/M64),NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,9,1943-08-16
647,1943-08-17,MTO,USA,12 AF,27 FBG/86 FBG,A36,NA,NA,PONTE OLIVO AIRFIELD,SICILY,37.131022,14.321464,23430,ITALY,LAMEZIA,NA,NA,NA,38.92,16.25,NA,6,NA,12,NA,NA,NA,NA,12,500 LB GP (GP-M43/M64),NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,10,1943-08-16
