"start_month","ct"
1939-09-01,7
1939-10-01,4
1939-11-01,5
1939-12-01,14
1940-05-01,28
1940-06-01,44
1940-07-01,455
1940-08-01,1081
1940-09-01,806
1940-10-01,1141
1940-11-01,978
1940-12-01,598
1941-01-01,212
1941-02-01,549
1941-03-01,475
1941-04-01,634
1941-05-01,448
1941-06-01,1139
1941-07-01,778
1941-08-01,1038
1941-09-01,701
1941-10-01,916
1941-11-01,174
1941-12-01,201
1942-01-01,334
1942-02-01,273
1942-03-01,255
1942-04-01,508
1942-05-01,183
1942-06-01,349
1942-07-01,481
1942-08-01,341
1942-09-01,272
1942-10-01,327
1942-11-01,385
1942-12-01,479
1943-01-01,615
1943-02-01,718
1943-03-01,853
1943-04-01,1247
1943-05-01,1535
1943-06-01,1525
1943-07-01,1972
1943-08-01,1920
1943-09-01,1626
1943-10-01,988
1943-11-01,1435
1943-12-01,1950
1944-01-01,2236
1944-02-01,2494
1944-03-01,3081
1944-04-01,4437
1944-05-01,5604
1944-06-01,6492
1944-07-01,6307
1944-08-01,6182
1944-09-01,5489
1944-10-01,4386
1944-11-01,4813
1944-12-01,5863
1945-01-01,4564
1945-02-01,5889
1945-03-01,9917
1945-04-01,10488
1945-05-01,2121
1945-06-01,1850
1945-07-01,1314
1945-08-01,294
1945-09-01,1
1945-12-01,47
NA,51415
